concept_iri	notation	pref_label	definition	capture_timestamp	source_url	capture_count	sampled_capture_count	distinct_sampled_definitions	review_status	review_note	sampled_headings	errors
https://data.idnau.org/pid/vocab/atns-sub/aa1bc55e-742c-5978-99d6-fac55a6e5775	39	Horticulture	Horticulture agreements cover horticultural activities or practices, or grants for horticultural purposes.	20200922213909	https://web.archive.org/web/20200922213909/https://atns.net.au/subjectmatter.asp?subjectmatterid=39	9	2	1	stable		Horticulture	20070901081521: URLError: <urlopen error [Errno 61] Connection refused>
https://data.idnau.org/pid/vocab/atns-sub/45d231c6-43e2-507e-b962-39416468877c	40	Agriculture	Agriculture agreements cover agricultural activities or practices, or grants for agricultural purposes.	20200925094407	https://web.archive.org/web/20200925094407/https://atns.net.au/subjectmatter.asp?SubjectmatterID=40	14	2	1	stable		Agriculture	20070901080818: URLError: <urlopen error [Errno 61] Connection refused>
https://data.idnau.org/pid/vocab/atns-sub/dc50c698-80b0-5ef4-bd95-928f2be8da05	41	Compensation	Compensation agreements provide for the payment of compensation.	20201023103206	https://web.archive.org/web/20201023103206/https://atns.net.au/subjectmatter.asp?subjectmatterid=41	16	2	1	stable		Compensation	20070901080604: URLError: <urlopen error [Errno 61] Connection refused>
https://data.idnau.org/pid/vocab/atns-sub/eb0505b2-1a8a-50e0-81ae-843a12f07744	42	Customary Law	Customary law agreements cover the jurisdiction or application of Indigenous customary law.	20200808174608	https://web.archive.org/web/20200808174608/https://atns.net.au/subjectmatter.asp?SubjectmatterID=42	9	3	1	stable		Customary Law	""
https://data.idnau.org/pid/vocab/atns-sub/b9cb4d2e-5a5b-57ae-a2ac-5450c37a61d8	43	Consultation	Consultation agreements include a consultation protocol or process.	20201029022248	https://web.archive.org/web/20201029022248/https://atns.net.au/subjectmatter.asp?SubjectmatterID=43	21	3	1	stable		Consultation	""
https://data.idnau.org/pid/vocab/atns-sub/ff4e6e61-8ae5-5b37-b306-00502be1d9d6	44	Forestry	Forestry agreements cover forestry activities or practices, or grants for forestry purposes.	20200925094619	https://web.archive.org/web/20200925094619/https://atns.net.au/subjectmatter.asp?SubjectmatterID=44	11	3	1	stable		Forestry	""
https://data.idnau.org/pid/vocab/atns-sub/51637aba-8d5a-5309-abd9-b42fbe3ec733	45	Fishing	Fishing agreements cover fishing activities or practices, or grants for fishing purposes –commercial and amateur.	20110216094119	https://web.archive.org/web/20110216094119/http://atns.net.au/subjectmatter.asp?SubjectmatterID=45	15	2	1	stable		Fishing	20201029022329: URLError: <urlopen error [Errno 61] Connection refused>
https://data.idnau.org/pid/vocab/atns-sub/e39913b8-e0d0-5c07-b96c-d2ac36af9557	46	Intellectual Property	Intellectual Property agreements cover intellectual property rights, copyright or ownership of an intellectual work.	20200319035520	https://web.archive.org/web/20200319035520/https://www.atns.net.au/subjectmatter.asp?SubjectmatterID=46	6	3	1	stable		Intellectual Property	""
https://data.idnau.org/pid/vocab/atns-sub/078baf41-50e7-561d-9163-fb3b43a98261	47	Implementation	Implementation agreements cover implementation of another agreement or proposal. Do not select where there is merely a clause in an agreement about the implementation of that agreement.	20200808174832	https://web.archive.org/web/20200808174832/https://atns.net.au/subjectmatter.asp?SubjectmatterID=47	12	3	1	stable		Implementation	""
https://data.idnau.org/pid/vocab/atns-sub/29221ef9-81d0-59aa-a9c9-744b71ff8349	48	Land Use	Land Use agreements cover use and access to land.	20200925094826	https://web.archive.org/web/20200925094826/https://atns.net.au/subjectmatter.asp?SubjectmatterID=48	25	3	1	stable		Land Use	""
