"concept_iri"	"notation"	"pref_label"	"definition"	"capture_timestamp"	"source_url"	"capture_count"	"sampled_capture_count"	"distinct_sampled_definitions"	"review_status"	"review_note"	"sampled_headings"	"errors"
"https://data.idnau.org/pid/vocab/atns-subcat/e76f87e0-b8e3-5926-84b7-228c7fad9c7c"	"80"	"Treaty (International)"	"A legally binding agreement between two or more sovereign governments."	"20150325192439"	"https://web.archive.org/web/20150325192439/http://atns.net.au/subcategory.asp?subcategoryid=80"	"7"	"2"	"1"	"stable"	""	"Treaty (International)"	"20070912090515: URLError: <urlopen error [Errno 61] Connection refused>"
"https://data.idnau.org/pid/vocab/atns-subcat/72a9c179-74f7-5b36-8f3a-0a46835c636f"	"81"	"Declaration"	"A Declaration is a formal or public statement or document stating agreed upon standards which is not legally binding."	"20200925094045"	"https://web.archive.org/web/20200925094045/https://atns.net.au/subcategory.asp?subcategoryID=81"	"7"	"3"	"2"	"definition-changed"	"20070901075800: Declaration — A Declaration is a formal or public statement or document stating agreed upon standards but which is not legally binding. || 20110216100251: Declaration — A Declaration is a formal or public statement or document stating agreed upon standards which is not legally binding. || 20200925094045: Declaration — A Declaration is a formal or public statement or document stating agreed upon standards which is not legally binding."	"Declaration"	""
"https://data.idnau.org/pid/vocab/atns-subcat/75aa5456-8d13-506b-979c-bc34a8bd0a97"	"82"	"Deed of Settlement (New Zealand)"	"A Deed of Settlement contains the fine detail of a settlement and is initialled by the Crown and the claimant negotiators. Once ratified by the wider claimant group, the final Deed of Settlement is drawn up and signed by the parties, at which time it becomes binding."	"20140302103416"	"https://web.archive.org/web/20140302103416/http://atns.net.au/subcategory.asp?subcategoryid=82"	"7"	"3"	"1"	"stable"	""	"Deed of Settlement (New Zealand)"	""
"https://data.idnau.org/pid/vocab/atns-subcat/cac0a6f7-3a5e-508f-a1d4-c453fb671f9c"	"83"	"Government"	"A publicly elected body which has governing authority over a political unit."	"20201029024718"	"https://web.archive.org/web/20201029024718/https://atns.net.au/subcategory.asp?subcategoryID=83"	"11"	"3"	"1"	"stable"	""	"Government"	""
"https://data.idnau.org/pid/vocab/atns-subcat/fce7d633-05fc-5e3e-8605-0cad9866c612"	"84"	"Regional Agreement"	"Regional agreements are made between Indigenous communities and other organisations, usually government and/or industry. Regional agreements can be used to organise policies, politics, administration and/or public services for or by an Indigenous people in a defined, frequently large, territory of land, or land and sea. Regional agreements can be legally enforceable as contracts."	"20140302103618"	"https://web.archive.org/web/20140302103618/http://atns.net.au/subcategory.asp?subcategoryID=84"	"7"	"3"	"1"	"stable"	""	"Regional Agreement"	""
"https://data.idnau.org/pid/vocab/atns-subcat/848b1af9-95b3-5332-90e1-1383bd4e0da7"	"85"	"Native Title Representative Body (NTRB)"	"A Native Title Representative Body (NTRB) is a body recognised under the Native Title Act 1993 (Cth) (NTA). An NTRB has the powers and functions set out in s 203B of the NTA including to support Indigenous people and native title holders to make various applications under the NTA, including claimant, objection, future act and compensation applications; and to negotiate Indigenous Land Use Agreements on behalf of Indigenous parties."	"20070901081552"	"https://web.archive.org/web/20070901081552/http://www.atns.net.au/subcategory.asp?subcategoryID=85"	"12"	"1"	"1"	"heading-mismatch"	"20070901081552: Native Title Representative Body — A Native Title Representative Body (NTRB) is a body recognised under the Native Title Act 1993 (Cth) (NTA). An NTRB has the powers and functions set out in s 203B of the NTA including to support Indigenous people and native title holders to make various applications under the NTA, including claimant, objection, future act and compensation applications; and to negotiate Indigenous Land Use Agreements on behalf of Indigenous parties."	"Native Title Representative Body"	"20110216101346: URLError: <urlopen error [Errno 61] Connection refused> | 20201029015453: URLError: <urlopen error [Errno 61] Connection refused>"
"https://data.idnau.org/pid/vocab/atns-subcat/b5a1f0b8-fda5-5c21-9210-53b047121dfd"	"86"	"First Nations People of Canada"	"The indigenous people of Canada who are not Inuit or Métis."	"20070901081117"	"https://web.archive.org/web/20070901081117/http://www.atns.net.au/subcategory.asp?subcategoryID=86"	"5"	"1"	"1"	"single-sample"	"20070901081117: First Nations People of Canada — The indigenous people of Canada who are not Inuit or Métis."	"First Nations People of Canada"	"20110216102145: URLError: <urlopen error [Errno 61] Connection refused> | 20140126160504: URLError: <urlopen error [Errno 61] Connection refused>"
"https://data.idnau.org/pid/vocab/atns-subcat/b4d0936c-867c-53c4-b8ca-dad372cb8c0c"	"87"	"Party to an Indigenous Land Use Agreement"	"A party to a voluntary agreement about use and management of land and waters. May include one or more native title groups, government or private enterprise."	"20201029022700"	"https://web.archive.org/web/20201029022700/https://atns.net.au/subcategory.asp?subcategoryID=87"	"19"	"1"	"1"	"single-sample"	"20201029022700: Party to an Indigenous Land Use Agreement — A party to a voluntary agreement about use and management of land and waters. May include one or more native title groups, government or private enterprise."	"Party to an Indigenous Land Use Agreement"	"20070901082427: URLError: <urlopen error [Errno 61] Connection refused> | 20110216102722: URLError: <urlopen error [Errno 61] Connection refused>"
"https://data.idnau.org/pid/vocab/atns-subcat/3c896846-bc0f-53fa-82a8-faeedb9f0f2a"	"88"	"Canadian Aboriginal Government"	"Typically a regional and popularly elected Aboriginal government which may have jurisdiction over law-making, education, health and social services. May be created pursuant to a self-government agreement."	"20140125204625"	"https://web.archive.org/web/20140125204625/http://atns.net.au/subcategory.asp?subcategoryID=88"	"6"	"2"	"1"	"stable"	""	"Canadian Aboriginal Government"	"20110216100904: URLError: <urlopen error [Errno 61] Connection refused>"
"https://data.idnau.org/pid/vocab/atns-subcat/668b60d9-b418-541f-9b99-af1f60fce728"	"89"	"Land Governance Agreement (Canada)"	"An agreement between the Canadian federal government and a First Nation or Aboriginal group which provides for the reservation of lands under s 91 of the Constitution Act, 1867 . It provides for the exercise of jurisdiction by the group over the use and regulation of the lands. It is distinct from land claims or self-government agreements under the federal Comprehensive Claims Policy"	"20140302103727"	"https://web.archive.org/web/20140302103727/http://atns.net.au/subcategory.asp?subcategoryID=89"	"5"	"3"	"1"	"stable"	""	"Land Governance Agreement (Canada)"	""
