atns-subcategory:3f9e2685-7bfd-5846-9b35-84429e6dcbaf	Public Company	128
atns-subcategory:5e6e7587-f46e-514c-b7f1-748fad936498	Native Title Holders (Native Title Act)	129
atns-subcategory:422e0386-70ff-5903-a802-bbf394001e44	Traditional Owner Group (Aboriginal Land Rights (Northern Territory) Act)	130
atns-subcategory:97efd2c0-d3cb-5785-a953-d83214529992	Local Government	131
atns-subcategory:a69ed78c-0c27-5b49-bee7-3c4ca6147f60	Aboriginal Community Council	132
atns-subcategory:80f9576f-cc98-5c15-b133-0ac43fced0c6	State Government	133
atns-subcategory:c43c7348-214e-5e4d-82fd-0ca183ec0745	Federal Government	134
atns-subcategory:c7a29999-091c-5086-b86d-fcd39ee1ff0b	Proprietary Company	135
atns-subcategory:395f9c3d-1892-5865-a0a9-bc3dbcc40009	Aboriginal Corporation	136
atns-subcategory:b8ac89d9-085b-56a9-b061-cde49e183bc4	Native Title Claimants (registered)	137
atns-subcategory:05a69289-48e5-5043-9a4d-d45fc411b116	Aboriginal Land Trust (Northern Territory)	138
atns-subcategory:8e1b0c83-6505-5408-be21-8d1f74b43120	Statutory Body	139
atns-subcategory:6ffe90c2-95c9-51b5-a083-8c7d83b975ef	Framework Agreement	140
atns-subcategory:107a111f-ec77-5bc3-8410-8bc0fade0403	Lease	141
atns-subcategory:1c5aa0a9-a1bc-59d1-a43d-51b12e376432	Section 21 Agreement (Native Title Act)	142
atns-subcategory:6a2c747a-d581-55df-a79d-0e18378d44b4	Native Title Claimants (unregistered)	143
atns-subcategory:4a28e5d2-a7b3-5528-9ea6-595807ca3c08	Land Use Agreement	144
atns-subcategory:27bf4e20-d996-5e23-bbd6-03284f4b24e4	Commercial Agreement	145
atns-subcategory:e25306cd-559a-5d5a-8a28-e66ca2c2323a	Exploration Agreement (Aboriginal Land Rights (Northern Territory) Act)	146
atns-subcategory:5701ef5e-fe49-5289-b4da-3345efa1ce89	Mining Agreement (Aboriginal Land Rights (Northern Territory) Act)	147
atns-subcategory:f6be2b14-a012-5d67-a3b9-eec5a957c048	Memorandum of Lease	148
atns-subcategory:cb04592a-0221-592e-9bd2-7cfd7c515db8	Exploration Agreement (Native Title Act)	149
atns-subcategory:89615198-37f5-5e14-91e6-a2ba2eb0af09	Joint Management Agreement	150
atns-subcategory:51e799aa-68a2-5df5-b3b6-ce3837c24612	Template Agreement	151
atns-subcategory:f0427812-61d1-5004-b577-ac236a9c5c18	Funding Agreement	152
atns-subcategory:d95daea3-0353-524d-b9af-f7d0d06b878a	Report	153
atns-subcategory:e9f2cbaa-5c3d-5a7e-a2de-427ab2fc804a	Statement of Commitment/Intention	154
atns-subcategory:d66b4fd1-9d0a-57fb-9a2c-d480e1cbc97f	Policy/Strategy	155
atns-subcategory:114e4b10-f8d9-5c01-9470-e5036762cb1b	Plan of Management	156
atns-subcategory:1eb2e7ab-f69e-50e0-96b3-ae27f43fe296	Research	157
atns-subcategory:88a6616e-8f95-5953-8f69-3d07e051515c	Indigenous Protected Area	158
atns-subcategory:66ca48c6-5504-5f8e-9835-c46a3bce657e	Final Agreement (Canada)	160
atns-subcategory:7dff9d75-8efe-5518-a99d-54546a46d417	Implementation Plan (Canada)	161
atns-subcategory:fc06dde7-2239-580c-b4b9-09d0f530c888	Self-Government Agreement (Canada)	162
atns-subcategory:76172eac-f556-58a7-85ae-e9378e301734	Devolution Agreement (Canada)	163
atns-subcategory:07dcb544-00ed-512d-9af0-a2d18865d9d3	Socio-Economic Agreement (Canada)	164
atns-subcategory:64c0b91c-926f-5d0c-8368-12601a23c8f2	Environmental Agreement (Canada)	165
atns-subcategory:300b61b1-8d08-5374-9ff8-b28c881f5b11	Impact and Benefits Agreement (IBA) (Canada)	166
atns-subcategory:011f1a86-2366-53c2-8f6d-a60006646e79	Mining Agreement (Canada)	167
atns-subcategory:a8368baa-c7b2-5b8f-a071-57fe2a7ec152	Support Agreement (Canada)	168
atns-subcategory:58e5a837-54f1-58e7-93cb-e780e6096ac2	Memorandum of Intent (MOI) (Canada)	169
atns-subcategory:0eb5fb8a-c7a0-5513-9544-e257fba66e8c	Partnership Agreement (Canada)	170
