resource_iri,resource_name,original_url,last_url_reached,possible_updated_url,http_status,classification,assessment,broken,same_domain_redirect,path_changed,content_type,content_length,error
https://data.idnau.org/pid/resource/f2eb6fd3-15ea-5ad6-a1be-21422a22adae,Bularnu Waluwarra and Wangkayujuru People and Local Government Indigneous Land Use Agreement (ILUA),http://www.nntt.gov.au/Indigenous-Land-Use-Agreements/Search-Registered-ILUAs/Pages/QLD_Registered_ILUA_Bularnu_Waluwarra_and_Wangkayujuru_People_and_Local_Government_ILUA_QI2012_132.aspx?Mode=TextOnly,https://www.nntt.gov.au/Indigenous-Land-Use-Agreements/Search-Registered-ILUAs/Pages/QLD_Registered_ILUA_Bularnu_Waluwarra_and_Wangkayujuru_People_and_Local_Government_ILUA_QI2012_132.aspx?Mode=TextOnly,,404,not_found,confirmed_broken,true,false,false,text/html; charset=utf-8,,Not Found
https://data.idnau.org/pid/resource/67e91000-cc01-5728-83f8-640a7e8725a3,Kuuku Ya'u People's Protected Areas Indigenous Land Use Agreement (ILUA),http://www.nntt.gov.au/Indigenous-Land-Use-Agreements/Search-Registered-ILUAs/Pages/Qld-Registered_ILUA_QI2009_012_Kuuku_Ya'u_Protected_Areas_ILUA.aspx,https://www.nntt.gov.au/Indigenous-Land-Use-Agreements/Search-Registered-ILUAs/Pages/Qld-Registered_ILUA_QI2009_012_Kuuku_Ya'u_Protected_Areas_ILUA.aspx,,404,not_found,confirmed_broken,true,false,false,text/html; charset=utf-8,,Not Found
https://data.idnau.org/pid/resource/57e6007a-3d7f-5416-b7a1-0c463df4a117,IBIS - Warraber Indigenous Land Use Agreement (ILUA),http://www.nntt.gov.au/Indigenous-Land-Use-Agreements/Search-Registered-ILUAs/Pages/Qld_-_Registered_ILUA_-_IBIS_-_Warraber_ILUA_-_QI2013_075.aspx,https://www.nntt.gov.au/Indigenous-Land-Use-Agreements/Search-Registered-ILUAs/Pages/Qld_-_Registered_ILUA_-_IBIS_-_Warraber_ILUA_-_QI2013_075.aspx,,404,not_found,confirmed_broken,true,false,false,text/html; charset=utf-8,,Not Found
https://data.idnau.org/pid/resource/9bae7a97-0b6e-5283-9e08-d4618fe12cd6,Middleback Ranges South Australia Indigenous Land Use Agreement (ILUA),http://www.nntt.gov.au/Indigenous-Land-Use-Agreements/Search-Registered-ILUAs/Pages/SA-RegisteredILUA-MiddlebackRangesSAILUA.aspx,https://www.nntt.gov.au/Indigenous-Land-Use-Agreements/Search-Registered-ILUAs/Pages/SA-RegisteredILUA-MiddlebackRangesSAILUA.aspx,,404,not_found,confirmed_broken,true,false,false,text/html; charset=utf-8,,Not Found
https://data.idnau.org/pid/resource/dd36ddd3-1fc5-5d91-b069-2c69141ac444,Eringa People - Tieyon Pastoral Indigenous Land Use Agreement (ILUA),http://www.nntt.gov.au/Indigenous-Land-Use-Agreements/Search-Registered-ILUAs/Pages/SA_-_Registered_ILUA_-Eringa_People_-_Eringa_People_-_Tieyon_Pastoral_ILUA_SI2012_011.aspx,https://www.nntt.gov.au/Indigenous-Land-Use-Agreements/Search-Registered-ILUAs/Pages/SA_-_Registered_ILUA_-Eringa_People_-_Eringa_People_-_Tieyon_Pastoral_ILUA_SI2012_011.aspx,,404,not_found,confirmed_broken,true,false,false,text/html; charset=utf-8,,Not Found
https://data.idnau.org/pid/resource/e9048cd2-0574-5ccf-b934-c4608907b417,Mulgathing (PE2158) Pastoral Indigenous Land Use Agreement (ILUA),http://www.nntt.gov.au/Indigenous-Land-Use-Agreements/Search-Registered-ILUAs/Pages/SA_-_Registered_ILUA_-Mulgathing_(PE2158)_Pastoral_ILUA_SI2011_016.aspx,https://www.nntt.gov.au/Indigenous-Land-Use-Agreements/Search-Registered-ILUAs/Pages/SA_-_Registered_ILUA_-Mulgathing_(PE2158)_Pastoral_ILUA_SI2011_016.aspx,,404,not_found,confirmed_broken,true,false,false,text/html; charset=utf-8,,Not Found
https://data.idnau.org/pid/resource/ecc3f936-2530-5b56-b053-914e3e5ad88c,Arabana Parks Indigenous Land Use Agreement (ILUA),http://www.nntt.gov.au/Indigenous-Land-Use-Agreements/Search-Registered-ILUAs/Pages/SA_-_Registered_ILUA_-_Arabana_Parks_ILUA_SI2012_016.aspx,https://www.nntt.gov.au/Indigenous-Land-Use-Agreements/Search-Registered-ILUAs/Pages/SA_-_Registered_ILUA_-_Arabana_Parks_ILUA_SI2012_016.aspx,,404,not_found,confirmed_broken,true,false,false,text/html; charset=utf-8,,Not Found
https://data.idnau.org/pid/resource/f708aa56-dd48-58ca-9b91-3a5a365e911f,Breakaways Indigenous Land Use Agreement (ILUA),http://www.nntt.gov.au/Indigenous-Land-Use-Agreements/Search-Registered-ILUAs/Pages/SA_-_Registered_ILUA_-_Breakaways_ILUA_SI2012_007.aspx?Mode=TextOnly,https://www.nntt.gov.au/Indigenous-Land-Use-Agreements/Search-Registered-ILUAs/Pages/SA_-_Registered_ILUA_-_Breakaways_ILUA_SI2012_007.aspx?Mode=TextOnly,,404,not_found,confirmed_broken,true,false,false,text/html; charset=utf-8,,Not Found
https://data.idnau.org/pid/resource/2493021d-ed8d-5c70-afa2-46a302dcd7a9,Bulgunnia Pastoral Indigenous Land Use Agreement (ILUA),http://www.nntt.gov.au/Indigenous-Land-Use-Agreements/Search-Registered-ILUAs/Pages/SA_-_Registered_ILUA_-_Bulgunnia_Pastoral_ILUA_SI2011_011.aspx,https://www.nntt.gov.au/Indigenous-Land-Use-Agreements/Search-Registered-ILUAs/Pages/SA_-_Registered_ILUA_-_Bulgunnia_Pastoral_ILUA_SI2011_011.aspx,,404,not_found,confirmed_broken,true,false,false,text/html; charset=utf-8,,Not Found
https://data.idnau.org/pid/resource/ea2c9f87-74fd-5d62-8530-4579daf8daf6,Carnding Well Pastoral Indigenous Land Use Agreement (ILUA),http://www.nntt.gov.au/Indigenous-Land-Use-Agreements/Search-Registered-ILUAs/Pages/SA_-_Registered_ILUA_-_Carnding_Well_Pastoral_ILUA_SI2011_014.aspx,https://www.nntt.gov.au/Indigenous-Land-Use-Agreements/Search-Registered-ILUAs/Pages/SA_-_Registered_ILUA_-_Carnding_Well_Pastoral_ILUA_SI2011_014.aspx,,404,not_found,confirmed_broken,true,false,false,text/html; charset=utf-8,,Not Found
https://data.idnau.org/pid/resource/e8639898-67e0-5d9c-af22-78885cd8fe47,Eringa People - Crown Point Pastoral Indigenous Land Use Agreement (ILUA),http://www.nntt.gov.au/Indigenous-Land-Use-Agreements/Search-Registered-ILUAs/Pages/SA_-_Registered_ILUA_-_Eringa_People_-_Crown_Point_Pastoral_ILUA_SI2012_011.aspx,https://www.nntt.gov.au/Indigenous-Land-Use-Agreements/Search-Registered-ILUAs/Pages/SA_-_Registered_ILUA_-_Eringa_People_-_Crown_Point_Pastoral_ILUA_SI2012_011.aspx,,404,not_found,confirmed_broken,true,false,false,text/html; charset=utf-8,,Not Found
https://data.idnau.org/pid/resource/b6c8c2f6-3a59-547d-b6d4-e0d7c1a212fc,Eringa People - Eringa/Hamilton Pastoral Indigenous Land Use Agreement (ILUA),http://www.nntt.gov.au/Indigenous-Land-Use-Agreements/Search-Registered-ILUAs/Pages/SA_-_Registered_ILUA_-_Eringa_People_-_Eringa_Hamilton_Pastoral_ILUA_SI2012_010.aspx,https://www.nntt.gov.au/Indigenous-Land-Use-Agreements/Search-Registered-ILUAs/Pages/SA_-_Registered_ILUA_-_Eringa_People_-_Eringa_Hamilton_Pastoral_ILUA_SI2012_010.aspx,,404,not_found,confirmed_broken,true,false,false,text/html; charset=utf-8,,Not Found
https://data.idnau.org/pid/resource/fc23cb36-dff9-5ea1-a434-86117e354971,Eringa People - Mount Sarah Pastoral Lease Indigenous Land Use Agreement (ILUA),http://www.nntt.gov.au/Indigenous-Land-Use-Agreements/Search-Registered-ILUAs/Pages/SA_-_Registered_ILUA_-_Eringa_People_-_Mount_Sarah_Pastoral_ILUA_SI2012_009.aspx,https://www.nntt.gov.au/Indigenous-Land-Use-Agreements/Search-Registered-ILUAs/Pages/SA_-_Registered_ILUA_-_Eringa_People_-_Mount_Sarah_Pastoral_ILUA_SI2012_009.aspx,,404,not_found,confirmed_broken,true,false,false,text/html; charset=utf-8,,Not Found
https://data.idnau.org/pid/resource/df1c1873-3f05-5602-b136-fb2c21dd2ea7,Eringa People - Stevenson Pastoral Indigenous Land Use Agreement (ILUA),http://www.nntt.gov.au/Indigenous-Land-Use-Agreements/Search-Registered-ILUAs/Pages/SA_-_Registered_ILUA_-_Eringa_People_-_Stevenson_Pastoral_ILUA_SI2012_008.aspx,https://www.nntt.gov.au/Indigenous-Land-Use-Agreements/Search-Registered-ILUAs/Pages/SA_-_Registered_ILUA_-_Eringa_People_-_Stevenson_Pastoral_ILUA_SI2012_008.aspx,,404,not_found,confirmed_broken,true,false,false,text/html; charset=utf-8,,Not Found
https://data.idnau.org/pid/resource/e246f1f5-959b-5c2b-877d-70a1e608eded,Far West Coast Native Title Settlement Indigenous Land Use Agreement (ILUA),http://www.nntt.gov.au/Indigenous-Land-Use-Agreements/Search-Registered-ILUAs/Pages/SA_-_Registered_ILUA_-_Far_West_Coast_Native_Title_Settlement_ILUA_SI2014_003.aspx,https://www.nntt.gov.au/Indigenous-Land-Use-Agreements/Search-Registered-ILUAs/Pages/SA_-_Registered_ILUA_-_Far_West_Coast_Native_Title_Settlement_ILUA_SI2014_003.aspx,,404,not_found,confirmed_broken,true,false,false,text/html; charset=utf-8,,Not Found
